query,show_id,show_name,publisher,description,total_episodes,languages,explicit,spotify_url,image_url
Radiojaputa,4CrH6HyXnbyStbq8OnGn41,Radiojaputa,,"Amigas, oyentas, escuchariado en general, bienvenidas al podcast sobre el único feminismo sensato que existe: el radical.",341,"[""es""]",False,https://open.spotify.com/show/4CrH6HyXnbyStbq8OnGn41,https://i.scdn.co/image/ab6765630000ba8a6ce0993b7c5b89d1e494e72d
Hablemos de feminismo,0AFGrellfefTQe24jEzqeV,Hablemos de feminismo,,"¡Hola! soy @nachulmi y en este podcast quiero, literal, hablar sobre feminismo: su historia, las variantes del movimiento, los referentes y los conflictos de siempre. Las preguntas y comentarios siempre son bienvenidos por instagram :)",72,"[""es-CL""]",True,https://open.spotify.com/show/0AFGrellfefTQe24jEzqeV,https://i.scdn.co/image/ab6765630000ba8ac73cca9beddd1fe18ee931c4
Amiga Date Cuenta,6B9dwCg4D9rwAiOIn6ua69, Amiga Date Cuenta ,,"Un magazine de antropología pop que pone nombre a lo que tú piensas. Noelia Ramírez y Begoña Gómez atienden a lo que pasa ahí afuera y pasan demasiado tiempo online para traerte conceptos urgentes del léxico hipercontemporáneo. Este podcast quincenal contiene: feminismo, demasiadas citas a artículos, ‘namedropping’ no aspiracional y personas que se quitan la palabra con cariño. En el universo amiguer también hay secciones, amigos y entrevistados. Atiende, amiga.",60,"[""es""]",False,https://open.spotify.com/show/6B9dwCg4D9rwAiOIn6ua69,https://i.scdn.co/image/ab6765630000ba8af3e1d6bc414f24daf475be5b
Nadie hablará de nosotras,18YtE7Ed8UPaTSZpqESG0B,Nadie hablará de nosotras,,"Este es un podcast gordo, anticapitalista y feminista en el que dos amigas nos juntamos una vez al mes a rajar sin parar sobre la gordofobia que vivimos y como esta se mezcla con otras circunstancias como ser mujeres y vivir en la periferia. Con este podcast buscamos aprender juntas y que las amigas que nos escucháis aprendáis con nosotras. También queremos reirnos y compartir lo que normalmente no nos atrevemos a compartir. Si te interesan los feminismos, el movimiento antigordofobia, las formas alternativas de pensar y cuestionarlo todo: este es tu podcast.",52,"[""es-ES""]",True,https://open.spotify.com/show/18YtE7Ed8UPaTSZpqESG0B,https://i.scdn.co/image/ab6765630000ba8a37fdc32c0512c51128b444f4
FEMINISMO RADICAL,6LqqJjfZgBSfWUEjFeCeln,FEMINISMO RADICAL,,"El feminismo es teoría y acción. Una no puede ir sin la otra. La acción siempre debe ir acompañada de una teoría que la sustente, que de contenido, que sea la base de su incidencia política. Si no es así, corremos el peligro de que el activismo se desvirtúe y no sirva a la causa por la cual se origina.  Como dijo la filósofa Celia Amorós: ""si conceptualizamos mal, politizamos mal"".",12,"[""es""]",False,https://open.spotify.com/show/6LqqJjfZgBSfWUEjFeCeln,https://i.scdn.co/image/ab6765630000ba8a7f166f9c5747bf095d175e24
Feminismo sin filtro,2jyXLBhkU1otwehBideHxn,Feminismo sin filtro,,"Les queremos platicar cómo vivimos el feminismo, así sin filtro.",13,"[""es-MX""]",False,https://open.spotify.com/show/2jyXLBhkU1otwehBideHxn,https://i.scdn.co/image/ab6765630000ba8ab93f0999b6b7f88e92784435
Feminismo de Estar por Casa,3mzzTLeTcqUJugBwHWBmSN,Feminismo de Estar por Casa,,Un podcast feminista made in Albacete.  Comparte reflexiones y conversaciones feministas y humanistas de estar por casa entre Azucena del Olmo y Manu Martínez,14,"[""es""]",False,https://open.spotify.com/show/3mzzTLeTcqUJugBwHWBmSN,https://i.scdn.co/image/ab6765630000ba8a5c9696930e811d09ba2bb90f
Feminismos desde el armario,3ZmdtWdDJKDsrlli14Mkze,Feminismos desde el armario,,🎙️Podcast de píldoras de (pseudo)formación /bollo/feminista.  #Feminismos #Queer #Bolleras #Lesbianas,16,"[""es""]",False,https://open.spotify.com/show/3ZmdtWdDJKDsrlli14Mkze,https://i.scdn.co/image/ab6765630000ba8a1e5fdd80ec26f2e0e42ee506
Sangre fucsia,3U3VqKz54X7ixs3yNgIyaU,Sangre Fucsia,,"Poscast del programa Sangre Fucsia, el fanzine sonoro feminista de Ágora Sol Radio que se emite en directo los viernes de 20 a 21h desde la Eskalera Karakola (Madrid). Somos la víscera, el puñetazo, la hemorragia.",283,"[""es""]",False,https://open.spotify.com/show/3U3VqKz54X7ixs3yNgIyaU,https://i.scdn.co/image/ab6765630000ba8aebab51ec708ea6679ca9761f
Feminismos para Entender,5ui2yRmUutK276L1ggD44c,Feminismos para Entender,,"Este podcast busca trasladar los conceptos básicos de los feminismos a la vida misma, explicando qué son los feminismos, qué pensamos las y les feministas, por qué somos feministas, para que asì seamos cada día màs quienes vemos nuestro alrededor con los lentes color violeta. La voz colectiva y un recorrido teórico por nuestras pensadoras y referentas feministas, ayudaràn a desandar el camino de nuestras principales luchas y proclamas. @feminismosparaentender",18,"[""es-AR""]",False,https://open.spotify.com/show/5ui2yRmUutK276L1ggD44c,https://i.scdn.co/image/ab6765630000ba8a6e08e2b4ced5bf605f5c17c7
(De eso no se habla),2GXXx3CNGH7pOxIeH8ak7U,(De eso no se habla),,Podcast de no ficción narrativa que une los puntos entre los silencios individuales y los silencios colectivos.  Historias sobre silencios. Y sobre cómo los rompemos.,31,"[""es-ES""]",False,https://open.spotify.com/show/2GXXx3CNGH7pOxIeH8ak7U,https://i.scdn.co/image/ab6765630000ba8a23c7c256d4a01e6b84b5952a
Club de Malasmadres,14YGS4nlalNT6WSZo4WDRQ,Club de Malasmadres,,"El podcast del Club de Malasmadres nace con vocación de romper con el mito de la madre perfecta, luchar por una conciliación real y una sociedad en igualdad. En este podcast encontrarás reflexiones y entrevistas a distintas invitadas que nos darán su punto de vista sobre mujer, maternidad y feminismo. Está capitaneado por Laura Baena, fundadora del Club de Malasmadres y presidenta de la Asociación Yo No Renuncio por la Conciliación.",166,"[""es""]",False,https://open.spotify.com/show/14YGS4nlalNT6WSZo4WDRQ,https://i.scdn.co/image/ab6765630000ba8a1a67a40f1e47568578d03374
Saldremos Mejores,7x5Q0B2ZWIot59Ah6NWoar,Saldremos Mejores,,"""Saldremos Mejores"" es un podcast que desafía la complacencia y te invita a profundizar más allá de las noticias de último momento en Twitter. Si no te conformas con cualquier información que te den, este es tu espacio.  Con rigor y desparpajo, Inés Hernand y Nerea Pérez de las Heras te llevan a profundizar temas cruciales junto a voces expertas, cada jueves.  ""Saldremos mejores"" es una producción de Podium Podcast y ha sido galardonado como Mejor Podcast conversacional (ex aequo) en los III Premios Ondas Globales del Podcast.",117,"[""es-ES""]",False,https://open.spotify.com/show/7x5Q0B2ZWIot59Ah6NWoar,https://i.scdn.co/image/ab6765630000ba8a941c4ea8b54134f676e50637
Somos Estupendas,06JgN4AkNage0vqyc8a1AD,Somos Estupendas,,"Somos Estupendas es un centro de salud mental y bienestar. Ofrecemos psicoterapia online y presencial en Barcelona y Madrid.  Podrás escucharnos cada domingo a las 09:00h con una psicóloga de nuestro equipo hablando sobre temas que nos inquietan a todas. Esperamos ayudarte a conocerte, comprenderte y encontrar respuestas y herramientas para tu día a día.  Bienvenida a este espacio donde poder mirar hacia dentro y florecer. ✿  Más sobre nosotras:  Nuestra web: https://somosestupendas.com/ Instagram: https://www.instagram.com/somosestupendas/ Tik Tok: https://www.tiktok.com/@somosestupendas",258,"[""es-ES""]",False,https://open.spotify.com/show/06JgN4AkNage0vqyc8a1AD,https://i.scdn.co/image/ab6765630000ba8a5fa66f770926c7c60b903717
AL CIELO CON ELLA con Henar Álvarez,6x9RCowhyb3m5nXtlIhLii,AL CIELO CON ELLA con Henar Álvarez,,"La cómica y escritora Henar Álvarez se sienta en el trono de 'Al cielo con ella', el nuevo programa de RTVE Play. Un espacio de entrevistas gamberro, irreverente, transgresor y reivindicativo al más puro estilo Henar.",116,"[""es""]",False,https://open.spotify.com/show/6x9RCowhyb3m5nXtlIhLii,https://i.scdn.co/image/ab6765630000ba8a8e1eb7852ba00355f07a671a
Keep It Cutre,3VYkhxT38nw3eeLmJu75kd,Keep It Cutre,,El antipodcast de Ángela Henche y Albanta San Román. Porque para qué hacer las cosas bien cuando puedes hacerlas regulín. ¡Nuevo episodio cada miércoles!,118,"[""es""]",False,https://open.spotify.com/show/3VYkhxT38nw3eeLmJu75kd,https://i.scdn.co/image/ab6765630000ba8a8ffd726370ca2a050aaa9bc3
La Pija y la Quinqui,22DdWpo8Dipj3PSMxn5yxv,La Pija y la Quinqui,,El podcast de Carlos Peguer y Mariang. Todos los domingos. Síguenos en redes en @pijayquinqui.,184,"[""es""]",False,https://open.spotify.com/show/22DdWpo8Dipj3PSMxn5yxv,https://i.scdn.co/image/ab6765630000ba8af173ac88033eaad8df7af2cb
Estirando el chicle,6V1DDzXVZg6wFXFo0SanY2,Estirando el chicle,,"Estirando el chicle es un podcast de comedia que surge de la necesidad de Victoria y Carolina de rajar sobre todas las cosas que les indignan. Semana a semana y sobre un tema concreto, Carol y Vicky comparten experiencias y anécdotas con otras mujeres, hacen crítica social, se faltan al respeto y cantan. Cantan fatal.  Todos los DOMINGOS en PODIUM PODCAST, YouTube, Spotify,  Amazon Music, Apple Podcast, Ivoox, Google Podcast, la plataforma de podcast de un primo mío y un montón de sitios más.",159,"[""es-ES""]",False,https://open.spotify.com/show/6V1DDzXVZg6wFXFo0SanY2,https://i.scdn.co/image/ab6765630000ba8a21f6ff57dcf197fc57a961e9
